"","date.local","location","value","unit","country"
"6184","2016-01-31T17:00:00-03:00","Curicó",6.746,"µg/m³","CL"
"6185","2016-01-31T17:00:00-03:00","Independencia",16,"µg/m³","CL"
"6186","2016-01-31T17:00:00-03:00","Osorno",4.204,"µg/m³","CL"
"6187","2016-01-31T17:00:00-03:00","El Bosque",12,"µg/m³","CL"
"6188","2016-01-31T17:00:00-03:00","Quilpue",5.438,"µg/m³","CL"
"6189","2022-10-05T19:00:00-07:00","Yosemite Village - V",4,"µg/m³","US"
"6190","2022-10-05T19:00:00-07:00","El Rio - Rio Mesa Sc",7,"µg/m³","US"
"6191","2022-10-05T22:00:00-04:00","SOMERST",5.7,"µg/m³","US"
"6192","2022-10-06T04:00:00+02:00","Gdańsk, ul. Wyzwolenia",15.1644,"µg/m³","PL"
"6193","2022-10-05T19:00:00-07:00","Newport-Calispel",10.7,"µg/m³","US"
"6194","2022-10-06T04:00:00+02:00","Vollaparken øst",0.7,"µg/m³","NO"
"6195","2022-10-06T03:00:00+01:00","Abuja",14.5,"µg/m³","NG"
"6196","2022-10-05T19:00:00-07:00","Roosevelt High Schoo",10.2,"µg/m³","US"
"6197","2022-10-05T20:00:00-06:00","BV",7.1,"µg/m³","US"
"6198","2022-10-06T04:00:00+02:00","Spikersuppa",1.055596,"µg/m³","NO"
"6199","2016-01-31T17:00:00-03:00","Puente Alto",12,"µg/m³","CL"
"6200","2016-01-31T17:00:00-03:00","Pudahuel",12,"µg/m³","CL"
"6201","2016-01-31T21:00:00+01:00","Utrecht-Griftpark",8.24274958333333,"µg/m³","NL"
"6202","2016-01-31T21:00:00+01:00","Utrecht-Kardinaal de Jongweg",5.05293416666667,"µg/m³","NL"
"6203","2016-01-31T21:00:00+01:00","Breukelen-Snelweg",4.12295208333333,"µg/m³","NL"
"6204","2016-01-31T21:00:00+01:00","Breda-Tilburgseweg",4.07419125,"µg/m³","NL"
"6205","2022-10-13T18:00:00-05:00","Waco C1037",5.7,"µg/m³","US"
"6206","2022-10-05T20:00:00-06:00","Jackson SLAMS",4,"µg/m³","US"
"6207","2022-10-05T19:00:00-07:00","Portland Lane Middle",10.4,"µg/m³","US"
"6208","2022-10-05T22:00:00-04:00","Millbrook NCore",6.4,"µg/m³","US"
"6209","2022-10-06T04:00:00+02:00","Szamotuły, ul. Kołłątaja",9.62683,"µg/m³","PL"
"6210","2022-10-06T04:00:00+02:00","FR24009",8.6,"µg/m³","FR"
"6211","2022-10-06T04:00:00+02:00","FR24021",7,"µg/m³","FR"
"6212","2022-10-13T19:00:00-04:00","Lancaster",7.9,"µg/m³","US"
"6213","2022-09-30T19:00:00-05:00","PUBLIC HEALTH",9.2,"µg/m³","US"
"6214","2022-10-06T05:00:00+03:00","BG0050A",11.93,"µg/m³","BG"
"6215","2022-10-05T19:00:00-07:00","Auburn 29th St",20.6,"µg/m³","US"
"6216","2022-10-06T07:30:00+05:30","B.Katihalli, Hassan - KSPCB",26,"µg/m³","IN"
"6217","2016-01-31T21:00:00+01:00","Breda-Bastenakenstraat",4.26168916666667,"µg/m³","NL"
"6218","2016-01-31T21:00:00+01:00","Badhoevedorp-Sloterweg",7.00833333333333,"µg/m³","NL"
"6219","2016-01-31T21:00:00+01:00","Wieringerwerf-Medemblikkerweg",2.5102425,"µg/m³","NL"
"6220","2016-01-31T21:00:00+01:00","Groningen-Nijensteinheerd",6.22876791666667,"µg/m³","NL"
"6221","2016-01-31T21:00:00+01:00","Nijmegen-Ruyterstraat",6.08377458333333,"µg/m³","NL"
"6222","2022-10-05T19:00:00-07:00","Garrett Jr. High",5.3,"µg/m³","US"
"6223","2022-10-05T21:00:00-05:00","SF-USD",6.2,"µg/m³","US"
"6224","2022-10-05T19:00:00-07:00","Whitehorse NAPS",4.7,"µg/m³","CA"
"6225","2022-10-06T04:00:00+02:00","FR34029",4.7,"µg/m³","FR"
"6226","2022-10-06T04:00:00+02:00","FR34061",3.2,"µg/m³","FR"
"6227","2022-10-06T04:00:00+02:00","FR34032",2.6,"µg/m³","FR"
"6228","2022-10-06T04:00:00+02:00","FR34041",6.7,"µg/m³","FR"
"6229","2022-10-06T04:00:00+02:00","FR34046",5.2,"µg/m³","FR"
"6230","2022-10-06T04:00:00+02:00","FR34051",1.8,"µg/m³","FR"
"6231","2022-10-06T04:00:00+02:00","FR34028",4,"µg/m³","FR"
"6232","2022-10-01T02:00:00+02:00","Janów Lubelski, ul. Okopowa",11.1,"µg/m³","PL"
